,element_group_id,part_id,cutting_pattern_id,part_offset,total_part_length
C0^E1,E1,['P17'],C0^E1,[0],1200.0
C1^E2,E2,['P17'],C1^E2,[0],1200.0
C2^E3,E3,['P17'],C2^E3,[0],1200.0
C3^E3,E3,['P18'],C3^E3,[0],1800.0
C4^E4,E4,['P17'],C4^E4,[0],1200.0
C5^E4,E4,['P18'],C5^E4,[0],1800.0
C6^E5,E5,['P17'],C6^E5,[0],1200.0
C7^E5,E5,['P18'],C7^E5,[0],1800.0
C8^E6,E6,['P2'],C8^E6,[0],2400.0
C9^E6,E6,['P18'],C9^E6,[0],1800.0
C10^E6,E6,"['P17', 'P17']",C10^E6,"[0, 1200.0]",2400.0
C11^E7,E7,['P2'],C11^E7,[0],2400.0
C12^E7,E7,['P19'],C12^E7,[0],3000.0
C13^E7,E7,"['P17', 'P17']",C13^E7,"[0, 1200.0]",2400.0
C14^E7,E7,"['P17', 'P18']",C14^E7,"[0, 1200.0]",3000.0
C15^E8,E8,['P2'],C15^E8,[0],2400.0
C16^E8,E8,['P19'],C16^E8,[0],3000.0
C17^E8,E8,"['P17', 'P17']",C17^E8,"[0, 1200.0]",2400.0
C18^E8,E8,"['P17', 'P18']",C18^E8,"[0, 1200.0]",3000.0
C19^E9,E9,['P19'],C19^E9,[0],3000.0
C20^E9,E9,['P20'],C20^E9,[0],3600.0
C21^E9,E9,"['P2', 'P17']",C21^E9,"[0, 2400.0]",3600.0
C22^E9,E9,"['P17', 'P18']",C22^E9,"[0, 1200.0]",3000.0
C23^E9,E9,"['P18', 'P18']",C23^E9,"[0, 1800.0]",3600.0
C24^E9,E9,"['P17', 'P17', 'P17']",C24^E9,"[0, 1200.0, 2400.0]",3600.0
C25^E10,E10,['P19'],C25^E10,[0],3000.0
C26^E10,E10,['P20'],C26^E10,[0],3600.0
C27^E10,E10,"['P2', 'P17']",C27^E10,"[0, 2400.0]",3600.0
C28^E10,E10,"['P17', 'P18']",C28^E10,"[0, 1200.0]",3000.0
C29^E10,E10,"['P18', 'P18']",C29^E10,"[0, 1800.0]",3600.0
C30^E10,E10,"['P17', 'P17', 'P17']",C30^E10,"[0, 1200.0, 2400.0]",3600.0
C31^E11,E11,['P20'],C31^E11,[0],3600.0
C32^E11,E11,['P21'],C32^E11,[0],4200.0
C33^E11,E11,"['P2', 'P17']",C33^E11,"[0, 2400.0]",3600.0
C34^E11,E11,"['P2', 'P18']",C34^E11,"[0, 2400.0]",4200.0
C35^E11,E11,"['P17', 'P19']",C35^E11,"[0, 1200.0]",4200.0
C36^E11,E11,"['P18', 'P18']",C36^E11,"[0, 1800.0]",3600.0
C37^E11,E11,"['P17', 'P17', 'P17']",C37^E11,"[0, 1200.0, 2400.0]",3600.0
C38^E11,E11,"['P17', 'P17', 'P18']",C38^E11,"[0, 1200.0, 2400.0]",4200.0
C39^E12,E12,['P20'],C39^E12,[0],3600.0
C40^E12,E12,['P21'],C40^E12,[0],4200.0
C41^E12,E12,"['P2', 'P17']",C41^E12,"[0, 2400.0]",3600.0
C42^E12,E12,"['P2', 'P18']",C42^E12,"[0, 2400.0]",4200.0
C43^E12,E12,"['P17', 'P19']",C43^E12,"[0, 1200.0]",4200.0
C44^E12,E12,"['P18', 'P18']",C44^E12,"[0, 1800.0]",3600.0
C45^E12,E12,"['P17', 'P17', 'P17']",C45^E12,"[0, 1200.0, 2400.0]",3600.0
C46^E12,E12,"['P17', 'P17', 'P18']",C46^E12,"[0, 1200.0, 2400.0]",4200.0
C0^E13,E13,['P5'],C0^E13,[0],800.0
C1^E14,E14,['P5'],C1^E14,[0],800.0
C2^E15,E15,['P6'],C2^E15,[0],1600.0
C3^E15,E15,"['P5', 'P5']",C3^E15,"[0, 800.0]",1600.0
C4^E16,E16,['P6'],C4^E16,[0],1600.0
C5^E16,E16,"['P5', 'P5']",C5^E16,"[0, 800.0]",1600.0
C6^E17,E17,['P6'],C6^E17,[0],1600.0
C7^E17,E17,"['P5', 'P5']",C7^E17,"[0, 800.0]",1600.0
C8^E18,E18,['P7'],C8^E18,[0],2400.0
C9^E18,E18,"['P5', 'P6']",C9^E18,"[0, 800.0]",2400.0
C10^E18,E18,"['P5', 'P5', 'P5']",C10^E18,"[0, 800.0, 1600.0]",2400.0
C11^E19,E19,['P7'],C11^E19,[0],2400.0
C12^E19,E19,"['P5', 'P6']",C12^E19,"[0, 800.0]",2400.0
C13^E19,E19,"['P5', 'P5', 'P5']",C13^E19,"[0, 800.0, 1600.0]",2400.0
C14^E20,E20,['P7'],C14^E20,[0],2400.0
C15^E20,E20,"['P5', 'P6']",C15^E20,"[0, 800.0]",2400.0
C16^E20,E20,"['P5', 'P5', 'P5']",C16^E20,"[0, 800.0, 1600.0]",2400.0
C17^E21,E21,['P6'],C17^E21,[0],1600.0
C18^E21,E21,"['P5', 'P5']",C18^E21,"[0, 800.0]",1600.0
C19^E22,E22,['P6'],C19^E22,[0],1600.0
C20^E22,E22,"['P5', 'P5']",C20^E22,"[0, 800.0]",1600.0
C21^E23,E23,['P7'],C21^E23,[0],2400.0
C22^E23,E23,"['P5', 'P6']",C22^E23,"[0, 800.0]",2400.0
C23^E23,E23,"['P5', 'P5', 'P5']",C23^E23,"[0, 800.0, 1600.0]",2400.0
C0^E24,E24,['P3'],C0^E24,[0],800.0
C1^E25,E25,['P3'],C1^E25,[0],800.0
C2^E26,E26,['P4'],C2^E26,[0],1600.0
C3^E26,E26,"['P3', 'P3']",C3^E26,"[0, 800.0]",1600.0
C4^E27,E27,['P4'],C4^E27,[0],1600.0
C5^E27,E27,"['P3', 'P3']",C5^E27,"[0, 800.0]",1600.0
C6^E28,E28,['P4'],C6^E28,[0],1600.0
C7^E28,E28,"['P3', 'P3']",C7^E28,"[0, 800.0]",1600.0
C8^E29,E29,['P0'],C8^E29,[0],2400.0
C9^E29,E29,"['P3', 'P4']",C9^E29,"[0, 800.0]",2400.0
C10^E29,E29,"['P3', 'P3', 'P3']",C10^E29,"[0, 800.0, 1600.0]",2400.0
C11^E30,E30,['P0'],C11^E30,[0],2400.0
C12^E30,E30,"['P3', 'P4']",C12^E30,"[0, 800.0]",2400.0
C13^E30,E30,"['P3', 'P3', 'P3']",C13^E30,"[0, 800.0, 1600.0]",2400.0
C14^E31,E31,"['P0', 'P3']",C14^E31,"[0, 2400.0]",3200.0
C15^E31,E31,"['P4', 'P4']",C15^E31,"[0, 1600.0]",3200.0
C16^E31,E31,"['P3', 'P3', 'P4']",C16^E31,"[0, 800.0, 1600.0]",3200.0
C17^E31,E31,"['P3', 'P3', 'P3', 'P3']",C17^E31,"[0, 800.0, 1600.0, 2400.0]",3200.0
C18^E32,E32,"['P0', 'P3']",C18^E32,"[0, 2400.0]",3200.0
C19^E32,E32,"['P4', 'P4']",C19^E32,"[0, 1600.0]",3200.0
C20^E32,E32,"['P3', 'P3', 'P4']",C20^E32,"[0, 800.0, 1600.0]",3200.0
C21^E32,E32,"['P3', 'P3', 'P3', 'P3']",C21^E32,"[0, 800.0, 1600.0, 2400.0]",3200.0
C22^E33,E33,"['P0', 'P3']",C22^E33,"[0, 2400.0]",3200.0
C23^E33,E33,"['P4', 'P4']",C23^E33,"[0, 1600.0]",3200.0
C24^E33,E33,"['P3', 'P3', 'P4']",C24^E33,"[0, 800.0, 1600.0]",3200.0
C25^E33,E33,"['P3', 'P3', 'P3', 'P3']",C25^E33,"[0, 800.0, 1600.0, 2400.0]",3200.0
C26^E34,E34,"['P0', 'P4']",C26^E34,"[0, 2400.0]",4000.0
C27^E34,E34,"['P0', 'P3', 'P3']",C27^E34,"[0, 2400.0, 3200.0]",4000.0
C28^E34,E34,"['P3', 'P4', 'P4']",C28^E34,"[0, 800.0, 2400.0]",4000.0
C29^E34,E34,"['P3', 'P3', 'P3', 'P4']",C29^E34,"[0, 800.0, 1600.0, 2400.0]",4000.0
C30^E34,E34,"['P3', 'P3', 'P3', 'P3', 'P3']",C30^E34,"[0, 800.0, 1600.0, 2400.0, 3200.0]",4000.0
C0^E35,E35,['P1'],C0^E35,[0],900.0
C1^E35,E35,['P25'],C1^E35,[0],1200.0
C2^E36,E36,['P1'],C2^E36,[0],900.0
C3^E36,E36,['P25'],C3^E36,[0],1200.0
C4^E37,E37,['P25'],C4^E37,[0],1200.0
C5^E37,E37,['P26'],C5^E37,[0],1800.0
C6^E37,E37,['P30'],C6^E37,[0],1507.0
C7^E37,E37,"['P1', 'P1']",C7^E37,"[0, 900.0]",1800.0
C8^E38,E38,['P26'],C8^E38,[0],1800.0
C9^E38,E38,['P30'],C9^E38,[0],1507.0
C10^E38,E38,"['P1', 'P1']",C10^E38,"[0, 900.0]",1800.0
C11^E38,E38,"['P1', 'P25']",C11^E38,"[0, 900.0]",2100.0
C12^E39,E39,['P26'],C12^E39,[0],1800.0
C13^E39,E39,['P30'],C13^E39,[0],1507.0
C14^E39,E39,"['P1', 'P1']",C14^E39,"[0, 900.0]",1800.0
C15^E39,E39,"['P1', 'P25']",C15^E39,"[0, 900.0]",2100.0
C16^E40,E40,['P26'],C16^E40,[0],1800.0
C17^E40,E40,['P30'],C17^E40,[0],1507.0
C18^E40,E40,"['P1', 'P1']",C18^E40,"[0, 900.0]",1800.0
C19^E40,E40,"['P1', 'P25']",C19^E40,"[0, 900.0]",2100.0
C20^E40,E40,"['P25', 'P25']",C20^E40,"[0, 1200.0]",2400.0
C21^E41,E41,"['P1', 'P25']",C21^E41,"[0, 900.0]",2100.0
C22^E41,E41,"['P1', 'P26']",C22^E41,"[0, 900.0]",2700.0
C23^E41,E41,"['P1', 'P30']",C23^E41,"[0, 900.0]",2407.0
C24^E41,E41,"['P25', 'P25']",C24^E41,"[0, 1200.0]",2400.0
C25^E41,E41,"['P1', 'P1', 'P1']",C25^E41,"[0, 900.0, 1800.0]",2700.0
C26^E42,E42,['P28'],C26^E42,[0],3000.0
C27^E42,E42,"['P1', 'P26']",C27^E42,"[0, 900.0]",2700.0
C28^E42,E42,"['P1', 'P30']",C28^E42,"[0, 900.0]",2407.0
C29^E42,E42,"['P25', 'P25']",C29^E42,"[0, 1200.0]",2400.0
C30^E42,E42,"['P25', 'P26']",C30^E42,"[0, 1200.0]",3000.0
C31^E42,E42,"['P25', 'P30']",C31^E42,"[0, 1200.0]",2707.0
C32^E42,E42,"['P1', 'P1', 'P1']",C32^E42,"[0, 900.0, 1800.0]",2700.0
C33^E42,E42,"['P1', 'P1', 'P25']",C33^E42,"[0, 900.0, 1800.0]",3000.0
C34^E43,E43,['P26'],C34^E43,[0],1800.0
C35^E43,E43,['P30'],C35^E43,[0],1507.0
C36^E43,E43,"['P1', 'P1']",C36^E43,"[0, 900.0]",1800.0
C37^E43,E43,"['P1', 'P25']",C37^E43,"[0, 900.0]",2100.0
C38^E44,E44,['P26'],C38^E44,[0],1800.0
C39^E44,E44,['P30'],C39^E44,[0],1507.0
C40^E44,E44,"['P1', 'P1']",C40^E44,"[0, 900.0]",1800.0
C41^E44,E44,"['P1', 'P25']",C41^E44,"[0, 900.0]",2100.0
C42^E45,E45,['P28'],C42^E45,[0],3000.0
C43^E45,E45,"['P1', 'P26']",C43^E45,"[0, 900.0]",2700.0
C44^E45,E45,"['P1', 'P30']",C44^E45,"[0, 900.0]",2407.0
C45^E45,E45,"['P25', 'P25']",C45^E45,"[0, 1200.0]",2400.0
C46^E45,E45,"['P25', 'P26']",C46^E45,"[0, 1200.0]",3000.0
C47^E45,E45,"['P25', 'P30']",C47^E45,"[0, 1200.0]",2707.0
C48^E45,E45,"['P1', 'P1', 'P1']",C48^E45,"[0, 900.0, 1800.0]",2700.0
C49^E45,E45,"['P1', 'P1', 'P25']",C49^E45,"[0, 900.0, 1800.0]",3000.0
C0^E46,E46,['P8'],C0^E46,[0],1200.0
C1^E47,E47,['P8'],C1^E47,[0],1200.0
C2^E48,E48,['P8'],C2^E48,[0],1200.0
C3^E48,E48,['P9'],C3^E48,[0],1800.0
C4^E49,E49,['P8'],C4^E49,[0],1200.0
C5^E49,E49,['P9'],C5^E49,[0],1800.0
C6^E50,E50,['P8'],C6^E50,[0],1200.0
C7^E50,E50,['P9'],C7^E50,[0],1800.0
C8^E51,E51,['P9'],C8^E51,[0],1800.0
C9^E51,E51,['P10'],C9^E51,[0],2400.0
C10^E51,E51,"['P8', 'P8']",C10^E51,"[0, 1200.0]",2400.0
C11^E52,E52,['P10'],C11^E52,[0],2400.0
C12^E52,E52,['P11'],C12^E52,[0],3000.0
C13^E52,E52,"['P8', 'P8']",C13^E52,"[0, 1200.0]",2400.0
C14^E52,E52,"['P8', 'P9']",C14^E52,"[0, 1200.0]",3000.0
C15^E53,E53,['P10'],C15^E53,[0],2400.0
C16^E53,E53,['P11'],C16^E53,[0],3000.0
C17^E53,E53,"['P8', 'P8']",C17^E53,"[0, 1200.0]",2400.0
C18^E53,E53,"['P8', 'P9']",C18^E53,"[0, 1200.0]",3000.0
C19^E54,E54,['P11'],C19^E54,[0],3000.0
C20^E54,E54,['P12'],C20^E54,[0],3600.0
C21^E54,E54,"['P8', 'P9']",C21^E54,"[0, 1200.0]",3000.0
C22^E54,E54,"['P8', 'P10']",C22^E54,"[0, 1200.0]",3600.0
C23^E54,E54,"['P9', 'P9']",C23^E54,"[0, 1800.0]",3600.0
C24^E54,E54,"['P8', 'P8', 'P8']",C24^E54,"[0, 1200.0, 2400.0]",3600.0
C25^E55,E55,['P12'],C25^E55,[0],3600.0
C26^E55,E55,['P13'],C26^E55,[0],4200.0
C27^E55,E55,"['P8', 'P10']",C27^E55,"[0, 1200.0]",3600.0
C28^E55,E55,"['P8', 'P11']",C28^E55,"[0, 1200.0]",4200.0
C29^E55,E55,"['P9', 'P9']",C29^E55,"[0, 1800.0]",3600.0
C30^E55,E55,"['P9', 'P10']",C30^E55,"[0, 1800.0]",4200.0
C31^E55,E55,"['P8', 'P8', 'P8']",C31^E55,"[0, 1200.0, 2400.0]",3600.0
C32^E55,E55,"['P8', 'P8', 'P9']",C32^E55,"[0, 1200.0, 2400.0]",4200.0
C0^E66,E66,['P29'],C0^E66,[0],1507.0
C1^E67,E67,['P29'],C1^E67,[0],1507.0
C2^E68,E68,['P29'],C2^E68,[0],1507.0
C3^E69,E69,['P29'],C3^E69,[0],1507.0
C4^E70,E70,['P29'],C4^E70,[0],1507.0
C5^E71,E71,"['P29', 'P29']",C5^E71,"[0, 1507.0]",3014.0
C6^E72,E72,"['P29', 'P29']",C6^E72,"[0, 1507.0]",3014.0
