member_id,member_group_id,jointing_pattern_id,repeat_structure,part_id,part_count
M1-1,M1,J0^M1,1,['P0'],1
M1-2,M1,J0^M1,1,['P0'],1
M1-3,M1,J0^M1,1,['P0'],1
M1-4,M1,J0^M1,1,['P0'],1
M1-5,M1,J0^M1,1,['P0'],1
M1-6,M1,J0^M1,1,['P0'],1
M1-7,M1,J0^M1,1,['P0'],1
M2-1,M2,J0^M2,1,['P0'],1
M2-2,M2,J0^M2,1,['P0'],1
M3-1,M3,J0^M3,1,['P1'],1
M4-1,M4,J0^M4,1,['P2'],1
M4-2,M4,J0^M4,1,['P2'],1
M4-3,M4,J0^M4,1,['P2'],1
M4-4,M4,J0^M4,1,['P2'],1
M5-1,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,1,['P2'],1
M6-2,M6,J0^M6,1,['P2'],1
M6-3,M6,J0^M6,1,['P2'],1
M6-4,M6,J0^M6,1,['P2'],1
M6-5,M6,J0^M6,1,['P2'],1
M6-6,M6,J0^M6,1,['P2'],1
M6-7,M6,J0^M6,1,['P2'],1
M6-8,M6,J0^M6,1,['P2'],1
M6-9,M6,J0^M6,1,['P2'],1
M6-10,M6,J0^M6,1,['P2'],1
M6-11,M6,J0^M6,1,['P2'],1
M7-1,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-2,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-3,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-4,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-5,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-6,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M8-1,M8,J1^M8,1,"['P8', 'P8', 'P9', 'P9', 'P8', 'P8', 'P9', 'P9']",8
M9-1,M9,J0^M9,1,"['P8', 'P9', 'P8', 'P9']",4
M10-1,M10,J1^M10,1,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J0^M11,1,"['P25', 'P26', 'P25', 'P26']",4
M12-1,M12,J1^M12,1,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,1,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,1,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J0^M15,1,"['P17', 'P18', 'P17', 'P18']",4
M16-1,M16,J0^M16,1,['P29'],1
M16-2,M16,J0^M16,1,['P29'],1
M16-3,M16,J0^M16,1,['P29'],1
M16-4,M16,J0^M16,1,['P29'],1
M16-5,M16,J0^M16,1,['P29'],1
M16-6,M16,J0^M16,1,['P29'],1
M16-7,M16,J0^M16,1,['P29'],1
M16-8,M16,J0^M16,1,['P29'],1
M17-1,M17,J0^M17,1,['P30'],1
M17-2,M17,J0^M17,1,['P30'],1
M17-3,M17,J0^M17,1,['P30'],1
M17-4,M17,J0^M17,1,['P30'],1
M17-5,M17,J0^M17,1,['P30'],1
M17-6,M17,J0^M17,1,['P30'],1
M17-7,M17,J0^M17,1,['P30'],1
M17-8,M17,J0^M17,1,['P30'],1
M1-1,M1,J0^M1,2,['P0'],1
M1-2,M1,J0^M1,2,['P0'],1
M1-3,M1,J0^M1,2,['P0'],1
M1-4,M1,J0^M1,2,['P0'],1
M1-5,M1,J0^M1,2,['P0'],1
M1-6,M1,J0^M1,2,['P0'],1
M1-7,M1,J0^M1,2,['P0'],1
M2-1,M2,J0^M2,2,['P0'],1
M2-2,M2,J0^M2,2,['P0'],1
M3-1,M3,J0^M3,2,['P1'],1
M4-1,M4,J0^M4,2,['P2'],1
M4-2,M4,J0^M4,2,['P2'],1
M4-3,M4,J0^M4,2,['P2'],1
M4-4,M4,J0^M4,2,['P2'],1
M5-1,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,2,['P2'],1
M6-2,M6,J0^M6,2,['P2'],1
M6-3,M6,J0^M6,2,['P2'],1
M6-4,M6,J0^M6,2,['P2'],1
M6-5,M6,J0^M6,2,['P2'],1
M6-6,M6,J0^M6,2,['P2'],1
M6-7,M6,J0^M6,2,['P2'],1
M6-8,M6,J0^M6,2,['P2'],1
M6-9,M6,J0^M6,2,['P2'],1
M6-10,M6,J0^M6,2,['P2'],1
M6-11,M6,J0^M6,2,['P2'],1
M7-1,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-2,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-3,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-4,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-5,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-6,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M8-1,M8,J1^M8,2,"['P8', 'P8', 'P9', 'P9', 'P8', 'P8', 'P9', 'P9']",8
M9-1,M9,J0^M9,2,"['P8', 'P9', 'P8', 'P9']",4
M10-1,M10,J1^M10,2,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J0^M11,2,"['P25', 'P26', 'P25', 'P26']",4
M12-1,M12,J1^M12,2,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,2,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,2,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J0^M15,2,"['P17', 'P18', 'P17', 'P18']",4
M16-1,M16,J0^M16,2,['P29'],1
M16-2,M16,J0^M16,2,['P29'],1
M16-3,M16,J0^M16,2,['P29'],1
M16-4,M16,J0^M16,2,['P29'],1
M16-5,M16,J0^M16,2,['P29'],1
M16-6,M16,J0^M16,2,['P29'],1
M16-7,M16,J0^M16,2,['P29'],1
M16-8,M16,J0^M16,2,['P29'],1
M17-1,M17,J0^M17,2,['P30'],1
M17-2,M17,J0^M17,2,['P30'],1
M17-3,M17,J0^M17,2,['P30'],1
M17-4,M17,J0^M17,2,['P30'],1
M17-5,M17,J0^M17,2,['P30'],1
M17-6,M17,J0^M17,2,['P30'],1
M17-7,M17,J0^M17,2,['P30'],1
M17-8,M17,J0^M17,2,['P30'],1
M1-1,M1,J0^M1,3,['P0'],1
M1-2,M1,J0^M1,3,['P0'],1
M1-3,M1,J0^M1,3,['P0'],1
M1-4,M1,J0^M1,3,['P0'],1
M1-5,M1,J0^M1,3,['P0'],1
M1-6,M1,J0^M1,3,['P0'],1
M1-7,M1,J0^M1,3,['P0'],1
M2-1,M2,J0^M2,3,['P0'],1
M2-2,M2,J0^M2,3,['P0'],1
M3-1,M3,J0^M3,3,['P1'],1
M4-1,M4,J0^M4,3,['P2'],1
M4-2,M4,J0^M4,3,['P2'],1
M4-3,M4,J0^M4,3,['P2'],1
M4-4,M4,J0^M4,3,['P2'],1
M5-1,M5,J0^M5,3,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,3,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,3,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,3,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,3,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,3,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,3,['P2'],1
M6-2,M6,J0^M6,3,['P2'],1
M6-3,M6,J0^M6,3,['P2'],1
M6-4,M6,J0^M6,3,['P2'],1
M6-5,M6,J0^M6,3,['P2'],1
M6-6,M6,J0^M6,3,['P2'],1
M6-7,M6,J0^M6,3,['P2'],1
M6-8,M6,J0^M6,3,['P2'],1
M6-9,M6,J0^M6,3,['P2'],1
M6-10,M6,J0^M6,3,['P2'],1
M6-11,M6,J0^M6,3,['P2'],1
M7-1,M7,J0^M7,3,"['P5', 'P6', 'P5', 'P6']",4
M7-2,M7,J0^M7,3,"['P5', 'P6', 'P5', 'P6']",4
M7-3,M7,J0^M7,3,"['P5', 'P6', 'P5', 'P6']",4
M7-4,M7,J0^M7,3,"['P5', 'P6', 'P5', 'P6']",4
M7-5,M7,J0^M7,3,"['P5', 'P6', 'P5', 'P6']",4
M7-6,M7,J0^M7,3,"['P5', 'P6', 'P5', 'P6']",4
M8-1,M8,J1^M8,3,"['P8', 'P8', 'P9', 'P9', 'P8', 'P8', 'P9', 'P9']",8
M9-1,M9,J1^M9,3,"['P11', 'P11']",2
M10-1,M10,J1^M10,3,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J0^M11,3,"['P25', 'P26', 'P25', 'P26']",4
M12-1,M12,J1^M12,3,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,3,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,3,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J0^M15,3,"['P17', 'P18', 'P17', 'P18']",4
M16-1,M16,J0^M16,3,['P29'],1
M16-2,M16,J0^M16,3,['P29'],1
M16-3,M16,J0^M16,3,['P29'],1
M16-4,M16,J0^M16,3,['P29'],1
M16-5,M16,J0^M16,3,['P29'],1
M16-6,M16,J0^M16,3,['P29'],1
M16-7,M16,J0^M16,3,['P29'],1
M16-8,M16,J0^M16,3,['P29'],1
M17-1,M17,J0^M17,3,['P30'],1
M17-2,M17,J0^M17,3,['P30'],1
M17-3,M17,J0^M17,3,['P30'],1
M17-4,M17,J0^M17,3,['P30'],1
M17-5,M17,J0^M17,3,['P30'],1
M17-6,M17,J0^M17,3,['P30'],1
M17-7,M17,J0^M17,3,['P30'],1
M17-8,M17,J0^M17,3,['P30'],1
M1-1,M1,J0^M1,4,['P0'],1
M1-2,M1,J0^M1,4,['P0'],1
M1-3,M1,J0^M1,4,['P0'],1
M1-4,M1,J0^M1,4,['P0'],1
M1-5,M1,J0^M1,4,['P0'],1
M1-6,M1,J0^M1,4,['P0'],1
M1-7,M1,J0^M1,4,['P0'],1
M2-1,M2,J0^M2,4,['P0'],1
M2-2,M2,J0^M2,4,['P0'],1
M3-1,M3,J0^M3,4,['P1'],1
M4-1,M4,J0^M4,4,['P2'],1
M4-2,M4,J0^M4,4,['P2'],1
M4-3,M4,J0^M4,4,['P2'],1
M4-4,M4,J0^M4,4,['P2'],1
M5-1,M5,J0^M5,4,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,4,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,4,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,4,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,4,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,4,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,4,['P2'],1
M6-2,M6,J0^M6,4,['P2'],1
M6-3,M6,J0^M6,4,['P2'],1
M6-4,M6,J0^M6,4,['P2'],1
M6-5,M6,J0^M6,4,['P2'],1
M6-6,M6,J0^M6,4,['P2'],1
M6-7,M6,J0^M6,4,['P2'],1
M6-8,M6,J0^M6,4,['P2'],1
M6-9,M6,J0^M6,4,['P2'],1
M6-10,M6,J0^M6,4,['P2'],1
M6-11,M6,J0^M6,4,['P2'],1
M7-1,M7,J1^M7,4,"['P7', 'P7']",2
M7-2,M7,J1^M7,4,"['P7', 'P7']",2
M7-3,M7,J1^M7,4,"['P7', 'P7']",2
M7-4,M7,J1^M7,4,"['P7', 'P7']",2
M7-5,M7,J1^M7,4,"['P7', 'P7']",2
M7-6,M7,J1^M7,4,"['P7', 'P7']",2
M8-1,M8,J4^M8,4,"['P8', 'P10', 'P10', 'P8', 'P10', 'P10']",6
M9-1,M9,J1^M9,4,"['P11', 'P11']",2
M10-1,M10,J1^M10,4,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J1^M11,4,"['P28', 'P28']",2
M12-1,M12,J1^M12,4,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,4,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,4,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J0^M15,4,"['P17', 'P18', 'P17', 'P18']",4
M16-1,M16,J0^M16,4,['P29'],1
M16-2,M16,J0^M16,4,['P29'],1
M16-3,M16,J0^M16,4,['P29'],1
M16-4,M16,J0^M16,4,['P29'],1
M16-5,M16,J0^M16,4,['P29'],1
M16-6,M16,J0^M16,4,['P29'],1
M16-7,M16,J0^M16,4,['P29'],1
M16-8,M16,J0^M16,4,['P29'],1
M17-1,M17,J0^M17,4,['P30'],1
M17-2,M17,J0^M17,4,['P30'],1
M17-3,M17,J0^M17,4,['P30'],1
M17-4,M17,J0^M17,4,['P30'],1
M17-5,M17,J0^M17,4,['P30'],1
M17-6,M17,J0^M17,4,['P30'],1
M17-7,M17,J0^M17,4,['P30'],1
M17-8,M17,J0^M17,4,['P30'],1
M1-1,M1,J0^M1,5,['P0'],1
M1-2,M1,J0^M1,5,['P0'],1
M1-3,M1,J0^M1,5,['P0'],1
M1-4,M1,J0^M1,5,['P0'],1
M1-5,M1,J0^M1,5,['P0'],1
M1-6,M1,J0^M1,5,['P0'],1
M1-7,M1,J0^M1,5,['P0'],1
M2-1,M2,J0^M2,5,['P0'],1
M2-2,M2,J0^M2,5,['P0'],1
M3-1,M3,J0^M3,5,['P1'],1
M4-1,M4,J0^M4,5,['P2'],1
M4-2,M4,J0^M4,5,['P2'],1
M4-3,M4,J0^M4,5,['P2'],1
M4-4,M4,J0^M4,5,['P2'],1
M5-1,M5,J0^M5,5,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,5,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,5,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,5,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,5,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,5,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,5,['P2'],1
M6-2,M6,J0^M6,5,['P2'],1
M6-3,M6,J0^M6,5,['P2'],1
M6-4,M6,J0^M6,5,['P2'],1
M6-5,M6,J0^M6,5,['P2'],1
M6-6,M6,J0^M6,5,['P2'],1
M6-7,M6,J0^M6,5,['P2'],1
M6-8,M6,J0^M6,5,['P2'],1
M6-9,M6,J0^M6,5,['P2'],1
M6-10,M6,J0^M6,5,['P2'],1
M6-11,M6,J0^M6,5,['P2'],1
M7-1,M7,J1^M7,5,"['P7', 'P7']",2
M7-2,M7,J1^M7,5,"['P7', 'P7']",2
M7-3,M7,J1^M7,5,"['P7', 'P7']",2
M7-4,M7,J1^M7,5,"['P7', 'P7']",2
M7-5,M7,J1^M7,5,"['P7', 'P7']",2
M7-6,M7,J1^M7,5,"['P7', 'P7']",2
M8-1,M8,J6^M8,5,"['P9', 'P9', 'P10', 'P9', 'P9', 'P10']",6
M9-1,M9,J1^M9,5,"['P11', 'P11']",2
M10-1,M10,J1^M10,5,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J1^M11,5,"['P28', 'P28']",2
M12-1,M12,J1^M12,5,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,5,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,5,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J1^M15,5,"['P19', 'P19']",2
M16-1,M16,J0^M16,5,['P29'],1
M16-2,M16,J0^M16,5,['P29'],1
M16-3,M16,J0^M16,5,['P29'],1
M16-4,M16,J0^M16,5,['P29'],1
M16-5,M16,J0^M16,5,['P29'],1
M16-6,M16,J0^M16,5,['P29'],1
M16-7,M16,J0^M16,5,['P29'],1
M16-8,M16,J0^M16,5,['P29'],1
M17-1,M17,J0^M17,5,['P30'],1
M17-2,M17,J0^M17,5,['P30'],1
M17-3,M17,J0^M17,5,['P30'],1
M17-4,M17,J0^M17,5,['P30'],1
M17-5,M17,J0^M17,5,['P30'],1
M17-6,M17,J0^M17,5,['P30'],1
M17-7,M17,J0^M17,5,['P30'],1
M17-8,M17,J0^M17,5,['P30'],1
M1-1,M1,J0^M1,6,['P0'],1
M1-2,M1,J0^M1,6,['P0'],1
M1-3,M1,J0^M1,6,['P0'],1
M1-4,M1,J0^M1,6,['P0'],1
M1-5,M1,J0^M1,6,['P0'],1
M1-6,M1,J0^M1,6,['P0'],1
M1-7,M1,J0^M1,6,['P0'],1
M2-1,M2,J0^M2,6,['P0'],1
M2-2,M2,J0^M2,6,['P0'],1
M3-1,M3,J0^M3,6,['P1'],1
M4-1,M4,J0^M4,6,['P2'],1
M4-2,M4,J0^M4,6,['P2'],1
M4-3,M4,J0^M4,6,['P2'],1
M4-4,M4,J0^M4,6,['P2'],1
M5-1,M5,J0^M5,6,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,6,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,6,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,6,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,6,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J1^M5,6,"['P0', 'P0']",2
M6-1,M6,J0^M6,6,['P2'],1
M6-2,M6,J0^M6,6,['P2'],1
M6-3,M6,J0^M6,6,['P2'],1
M6-4,M6,J0^M6,6,['P2'],1
M6-5,M6,J0^M6,6,['P2'],1
M6-6,M6,J0^M6,6,['P2'],1
M6-7,M6,J0^M6,6,['P2'],1
M6-8,M6,J0^M6,6,['P2'],1
M6-9,M6,J0^M6,6,['P2'],1
M6-10,M6,J0^M6,6,['P2'],1
M6-11,M6,J0^M6,6,['P2'],1
M7-1,M7,J1^M7,6,"['P7', 'P7']",2
M7-2,M7,J1^M7,6,"['P7', 'P7']",2
M7-3,M7,J1^M7,6,"['P7', 'P7']",2
M7-4,M7,J1^M7,6,"['P7', 'P7']",2
M7-5,M7,J1^M7,6,"['P7', 'P7']",2
M7-6,M7,J1^M7,6,"['P7', 'P7']",2
M8-1,M8,J6^M8,6,"['P9', 'P9', 'P10', 'P9', 'P9', 'P10']",6
M9-1,M9,J1^M9,6,"['P11', 'P11']",2
M10-1,M10,J1^M10,6,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J1^M11,6,"['P28', 'P28']",2
M12-1,M12,J1^M12,6,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,6,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,6,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J1^M15,6,"['P19', 'P19']",2
M16-1,M16,J0^M16,6,['P29'],1
M16-2,M16,J0^M16,6,['P29'],1
M16-3,M16,J0^M16,6,['P29'],1
M16-4,M16,J0^M16,6,['P29'],1
M16-5,M16,J0^M16,6,['P29'],1
M16-6,M16,J0^M16,6,['P29'],1
M16-7,M16,J0^M16,6,['P29'],1
M16-8,M16,J0^M16,6,['P29'],1
M17-1,M17,J0^M17,6,['P30'],1
M17-2,M17,J0^M17,6,['P30'],1
M17-3,M17,J0^M17,6,['P30'],1
M17-4,M17,J0^M17,6,['P30'],1
M17-5,M17,J0^M17,6,['P30'],1
M17-6,M17,J0^M17,6,['P30'],1
M17-7,M17,J0^M17,6,['P30'],1
M17-8,M17,J0^M17,6,['P30'],1
