size,grade,span_type,joist_spacing,max_span,max_cantilever
70x35,MGP10,single,300,0,0
70x45,MGP10,single,300,0,0
90x35,MGP10,single,300,1000,300
90x45,MGP10,single,300,1400,400
120x35,MGP10,single,300,2100,600
120x45,MGP10,single,300,2400,700
140x35,MGP10,single,300,2700,800
140x45,MGP10,single,300,3100,900
170x35,MGP10,single,300,3300,900
170x45,MGP10,single,300,3700,1100
190x35,MGP10,single,300,3600,1000
190x45,MGP10,single,300,4100,1200
240x35,MGP10,single,300,4400,1300
240x45,MGP10,single,300,4900,1400
290x45,MGP10,single,300,5700,1700
70x35,MGP10,single,450,0,0
70x45,MGP10,single,450,0,0
90x35,MGP10,single,450,1000,300
90x45,MGP10,single,450,1300,300
120x35,MGP10,single,450,1800,500
120x45,MGP10,single,450,2200,600
140x35,MGP10,single,450,2300,600
140x45,MGP10,single,450,2600,700
170x35,MGP10,single,450,2700,800
170x45,MGP10,single,450,3000,900
190x35,MGP10,single,450,3000,900
190x45,MGP10,single,450,3300,900
240x35,MGP10,single,450,3600,1000
240x45,MGP10,single,450,4100,1200
290x45,MGP10,single,450,4700,1400
70x35,MGP10,single,600,0,0
70x45,MGP10,single,600,0,0
90x35,MGP10,single,600,1000,300
90x45,MGP10,single,600,1300,300
120x35,MGP10,single,600,1700,500
120x45,MGP10,single,600,1900,500
140x35,MGP10,single,600,2000,600
140x45,MGP10,single,600,2200,600
170x35,MGP10,single,600,2300,600
170x45,MGP10,single,600,2600,700
190x35,MGP10,single,600,2600,700
190x45,MGP10,single,600,2900,800
240x35,MGP10,single,600,3100,900
240x45,MGP10,single,600,3500,1000
290x45,MGP10,single,600,4100,1200
70x35,MGP10,continuous,300,0,0
70x45,MGP10,continuous,300,1100,300
90x35,MGP10,continuous,300,1400,400
90x45,MGP10,continuous,300,1800,500
120x35,MGP10,continuous,300,2400,700
120x45,MGP10,continuous,300,2700,800
140x35,MGP10,continuous,300,2800,800
140x45,MGP10,continuous,300,3100,900
170x35,MGP10,continuous,300,3300,900
170x45,MGP10,continuous,300,3700,1100
190x35,MGP10,continuous,300,3600,1000
190x45,MGP10,continuous,300,4100,1200
240x35,MGP10,continuous,300,4400,1300
240x45,MGP10,continuous,300,4900,1400
290x45,MGP10,continuous,300,5700,1700
70x35,MGP10,continuous,450,0,0
70x45,MGP10,continuous,450,0,0
90x35,MGP10,continuous,450,1200,300
90x45,MGP10,continuous,450,1600,400
120x35,MGP10,continuous,450,1900,500
120x45,MGP10,continuous,450,2200,600
140x35,MGP10,continuous,450,2300,600
140x45,MGP10,continuous,450,2600,700
170x35,MGP10,continuous,450,2700,800
170x45,MGP10,continuous,450,3000,900
190x35,MGP10,continuous,450,3000,900
190x45,MGP10,continuous,450,3300,900
240x35,MGP10,continuous,450,3600,1000
240x45,MGP10,continuous,450,4100,1200
290x45,MGP10,continuous,450,4700,1400
70x35,MGP10,continuous,600,0,0
70x45,MGP10,continuous,600,0,0
90x35,MGP10,continuous,600,1200,300
90x45,MGP10,continuous,600,1400,400
120x35,MGP10,continuous,600,1700,500
120x45,MGP10,continuous,600,1900,500
140x35,MGP10,continuous,600,2000,600
140x45,MGP10,continuous,600,2200,600
170x35,MGP10,continuous,600,2300,600
170x45,MGP10,continuous,600,2600,700
190x35,MGP10,continuous,600,2600,700
190x45,MGP10,continuous,600,2900,800
240x35,MGP10,continuous,600,3100,900
240x45,MGP10,continuous,600,3500,1000
290x45,MGP10,continuous,600,4100,1200
70x35,F5,single,300,0,0
70x45,F5,single,300,0,0
90x35,F5,single,300,1000,300
90x45,F5,single,300,1200,300
120x35,F5,single,300,1700,500
120x45,F5,single,300,2300,600
140x35,F5,single,300,2400,700
140x45,F5,single,300,2800,800
170x35,F5,single,300,3100,900
170x45,F5,single,300,3400,1000
190x35,F5,single,300,3400,1000
190x45,F5,single,300,3800,1100
240x35,F5,single,300,4300,1200
240x45,F5,single,300,4800,1400
290x45,F5,single,300,5600,1600
70x35,F5,single,450,0,0
70x45,F5,single,450,0,0
90x35,F5,single,450,0,0
90x45,F5,single,450,1100,300
120x35,F5,single,450,1500,400
120x45,F5,single,450,2000,600
140x35,F5,single,450,2100,600
140x45,F5,single,450,2400,700
170x35,F5,single,450,2500,700
170x45,F5,single,450,2800,800
190x35,F5,single,450,2800,800
190x45,F5,single,450,3200,900
240x35,F5,single,450,3500,1000
240x45,F5,single,450,4000,1200
290x45,F5,single,450,4800,1400
70x35,F5,single,600,0,0
70x45,F5,single,600,0,0
90x35,F5,single,600,0,0
90x45,F5,single,600,1100,300
120x35,F5,single,600,1500,400
120x45,F5,single,600,1800,500
140x35,F5,single,600,1800,500
140x45,F5,single,600,2000,600
170x35,F5,single,600,2200,600
170x45,F5,single,600,2500,700
190x35,F5,single,600,2400,700
190x45,F5,single,600,2800,800
240x35,F5,single,600,3100,900
240x45,F5,single,600,3500,1000
290x45,F5,single,600,4200,1200
70x35,F5,continuous,300,0,0
70x45,F5,continuous,300,1000,300
90x35,F5,continuous,300,1200,300
90x45,F5,continuous,300,1600,400
120x35,F5,continuous,300,2200,600
120x45,F5,continuous,300,2500,700
140x35,F5,continuous,300,2500,700
140x45,F5,continuous,300,2900,800
170x35,F5,continuous,300,3100,900
170x45,F5,continuous,300,3500,1000
190x35,F5,continuous,300,3400,1000
190x45,F5,continuous,300,3900,1100
240x35,F5,continuous,300,4300,1200
240x45,F5,continuous,300,4900,1400
290x45,F5,continuous,300,5800,1700
70x35,F5,continuous,450,0,0
70x45,F5,continuous,450,0,0
90x35,F5,continuous,450,1100,300
90x45,F5,continuous,450,1400,400
120x35,F5,continuous,450,1800,500
120x45,F5,continuous,450,2000,600
140x35,F5,continuous,450,2100,600
140x45,F5,continuous,450,2400,700
170x35,F5,continuous,450,2500,700
170x45,F5,continuous,450,2800,800
190x35,F5,continuous,450,2800,800
190x45,F5,continuous,450,3200,900
240x35,F5,continuous,450,3500,1000
240x45,F5,continuous,450,4000,1200
290x45,F5,continuous,450,4800,1400
70x35,F5,continuous,600,0,0
70x45,F5,continuous,600,0,0
90x35,F5,continuous,600,1100,300
90x45,F5,continuous,600,1300,300
120x35,F5,continuous,600,1500,400
120x45,F5,continuous,600,1800,500
140x35,F5,continuous,600,1800,500
140x45,F5,continuous,600,2000,600
170x35,F5,continuous,600,2200,600
170x45,F5,continuous,600,2500,700
190x35,F5,continuous,600,2400,700
190x45,F5,continuous,600,2800,800
240x35,F5,continuous,600,3100,900
240x45,F5,continuous,600,3500,1000
290x45,F5,continuous,600,4200,1200
