size,grade,span_type,roof_load_width,floor_load_width,max_span,max_cantilever,,,,,,Single,,Span
2/90x35,MGP10,single,0,1200,1600,400,,,,,,,,
2/90x45,MGP10,single,0,1200,1800,500,,,,,,,,
2/120x35,MGP10,single,0,1200,2200,650,,,,,,,,
2/120x45,MGP10,single,0,1200,2400,700,,,,,,,,
2/140x35,MGP10,single,0,1200,2600,700,,,,,,,,
2/140x45,MGP10,single,0,1200,2800,800,,,,,,,,
2/170x35,MGP10,single,0,1200,3100,900,,,,,,,,
2/170x45,MGP10,single,0,1200,3400,1000,,,,,,,,
2/190x35,MGP10,single,0,1200,3500,1050,,,,,,,,
2/190x45,MGP10,single,0,1200,3700,1100,,,,,,,,
2/240x35,MGP10,single,0,1200,4200,1200,,,,,,,,
2/240x45,MGP10,single,0,1200,4400,1300,,,,,,,,
2/290x35,MGP10,single,0,1200,4800,1400,,,,,,,,
2/290x45,MGP10,single,0,1200,5100,1500,,,,,,,,
2/90x35,MGP10,single,0,1800,1400,400,,,,,,,,
2/90x45,MGP10,single,0,1800,1500,400,,,,,,,,
2/120x35,MGP10,single,0,1800,1900,500,,,,,,,,
2/120x45,MGP10,single,0,1800,2100,600,,,,,,,,
2/140x35,MGP10,single,0,1800,2200,600,,,,,,,,
2/140x45,MGP10,single,0,1800,2400,700,,,,,,,,
2/170x35,MGP10,single,0,1800,2700,800,,,,,,,,
2/170x45,MGP10,single,0,1800,2900,800,,,,,,,,
2/190x35,MGP10,single,0,1800,3000,900,,,,,,,,
2/190x45,MGP10,single,0,1800,3300,900,,,,,,,,
2/240x35,MGP10,single,0,1800,3600,1000,,,,,,,,
2/240x45,MGP10,single,0,1800,4000,1200,,,,,,,,
2/290x35,MGP10,single,0,1800,4200,1200,,,,,,,,
2/290x45,MGP10,single,0,1800,4600,1300,,,,,,,,
2/90x35,MGP10,single,0,2400,1200,350,,,,,,,,
2/90x45,MGP10,single,0,2400,1400,400,,,,,,,,
2/120x35,MGP10,single,0,2400,1700,500,,,,,,,,
2/120x45,MGP10,single,0,2400,1900,500,,,,,,,,
2/140x35,MGP10,single,0,2400,1900,500,,,,,,,,
2/140x45,MGP10,single,0,2400,2200,600,,,,,,,,
2/170x35,MGP10,single,0,2400,2300,600,,,,,,,,
2/170x45,MGP10,single,0,2400,2600,700,,,,,,,,
2/190x35,MGP10,single,0,2400,2500,700,,,,,,,,
2/190x45,MGP10,single,0,2400,2900,800,,,,,,,,
2/240x35,MGP10,single,0,2400,3100,900,,,,,,,,
2/240x45,MGP10,single,0,2400,3500,1000,,,,,,,,
2/290x35,MGP10,single,0,2400,3600,1000,,,,,,,,
2/290x45,MGP10,single,0,2400,4100,1200,,,,,,,,
2/90x35,MGP10,single,0,3600,1000,250,,,,,,,,
2/90x45,MGP10,single,0,3600,1100,300,,,,,,,,
2/120x35,MGP10,single,0,3600,1300,300,,,,,,,,
2/120x45,MGP10,single,0,3600,1500,400,,,,,,,,
2/140x35,MGP10,single,0,3600,1600,400,,,,,,,,
2/140x45,MGP10,single,0,3600,1800,500,,,,,,,,
2/170x35,MGP10,single,0,3600,1900,500,,,,,,,,
2/170x45,MGP10,single,0,3600,2100,600,,,,,,,,
2/190x35,MGP10,single,0,3600,2100,600,,,,,,,,
2/190x45,MGP10,single,0,3600,2300,600,,,,,,,,
2/240x35,MGP10,single,0,3600,2500,700,,,,,,,,
2/240x45,MGP10,single,0,3600,2800,800,,,,,,,,
2/290x35,MGP10,single,0,3600,2900,800,,,,,,,,
2/290x45,MGP10,single,0,3600,3300,900,,,,,,,,
2/90x35,MGP10,single,0,4800,0,0,,,,,,,,
2/90x45,MGP10,single,0,4800,1000,250,,,,,,,,
2/120x35,MGP10,single,0,4800,1100,300,,,,,,,,
2/120x45,MGP10,single,0,4800,1300,300,,,,,,,,
2/140x35,MGP10,single,0,4800,1300,300,,,,,,,,
2/140x45,MGP10,single,0,4800,1500,400,,,,,,,,
2/170x35,MGP10,single,0,4800,1600,400,,,,,,,,
2/170x45,MGP10,single,0,4800,1800,500,,,,,,,,
2/190x35,MGP10,single,0,4800,1800,500,,,,,,,,
2/190x45,MGP10,single,0,4800,2000,600,,,,,,,,
2/240x35,MGP10,single,0,4800,2100,600,,,,,,,,
2/240x45,MGP10,single,0,4800,2400,700,,,,,,,,
2/290x35,MGP10,single,0,4800,2500,700,,,,,,,,
2/290x45,MGP10,single,0,4800,2800,800,,,,,,,,
2/90x35,MGP10,single,0,6000,0,0,,,,,,,,
2/90x45,MGP10,single,0,6000,0,0,,,,,,,,
2/120x35,MGP10,single,0,6000,1000,300,,,,,,,,
2/120x45,MGP10,single,0,6000,1100,300,,,,,,,,
2/140x35,MGP10,single,0,6000,1200,350,,,,,,,,
2/140x45,MGP10,single,0,6000,1300,300,,,,,,,,
2/170x35,MGP10,single,0,6000,1400,400,,,,,,,,
2/170x45,MGP10,single,0,6000,1600,400,,,,,,,,
2/190x35,MGP10,single,0,6000,1500,400,,,,,,,,
2/190x45,MGP10,single,0,6000,1800,500,,,,,,,,
2/240x35,MGP10,single,0,6000,1900,500,,,,,,,,
2/240x45,MGP10,single,0,6000,2100,600,,,,,,,,
2/290x35,MGP10,single,0,6000,2200,600,,,,,,,,
2/290x45,MGP10,single,0,6000,2500,700,,,,,,,,
2/90x35,MGP10,continuous,0,1200,1800,500,,,,,,,,
2/90x45,MGP10,continuous,0,1200,2000,550,,,,,,,,
2/120x35,MGP10,continuous,0,1200,2400,650,,,,,,,,
2/120x45,MGP10,continuous,0,1200,2700,750,,,,,,,,
2/140x35,MGP10,continuous,0,1200,2800,800,,,,,,,,
2/140x45,MGP10,continuous,0,1200,3100,850,,,,,,,,
2/170x35,MGP10,continuous,0,1200,3300,950,,,,,,,,
2/170x45,MGP10,continuous,0,1200,3700,1000,,,,,,,,
2/190x35,MGP10,continuous,0,1200,3600,1050,,,,,,,,
2/190x45,MGP10,continuous,0,1200,4100,1150,,,,,,,,
2/240x35,MGP10,continuous,0,1200,4400,1300,,,,,,,,
2/240x45,MGP10,continuous,0,1200,5000,1400,,,,,,,,
2/290x35,MGP10,continuous,0,1200,5100,1500,,,,,,,,
2/290x45,MGP10,continuous,0,1200,5700,1700,,,,,,,,
2/90x35,MGP10,continuous,0,1800,1400,400,,,,,,,,
2/90x45,MGP10,continuous,0,1800,1600,400,,,,,,,,
2/120x35,MGP10,continuous,0,1800,1900,500,,,,,,,,
2/120x45,MGP10,continuous,0,1800,2200,650,,,,,,,,
2/140x35,MGP10,continuous,0,1800,2300,600,,,,,,,,
2/140x45,MGP10,continuous,0,1800,2600,750,,,,,,,,
2/170x35,MGP10,continuous,0,1800,2700,800,,,,,,,,
2/170x45,MGP10,continuous,0,1800,3000,900,,,,,,,,
2/190x35,MGP10,continuous,0,1800,3000,900,,,,,,,,
2/190x45,MGP10,continuous,0,1800,3400,1000,,,,,,,,
2/240x35,MGP10,continuous,0,1800,3600,1000,,,,,,,,
2/240x45,MGP10,continuous,0,1800,4100,1200,,,,,,,,
2/290x35,MGP10,continuous,0,1800,4200,1200,,,,,,,,
2/290x45,MGP10,continuous,0,1800,4700,1400,,,,,,,,
2/90x35,MGP10,continuous,0,2400,1200,350,,,,,,,,
2/90x45,MGP10,continuous,0,2400,1400,400,,,,,,,,
2/120x35,MGP10,continuous,0,2400,1700,500,,,,,,,,
2/120x45,MGP10,continuous,0,2400,1900,500,,,,,,,,
2/140x35,MGP10,continuous,0,2400,1900,500,,,,,,,,
2/140x45,MGP10,continuous,0,2400,2200,600,,,,,,,,
2/170x35,MGP10,continuous,0,2400,2300,600,,,,,,,,
2/170x45,MGP10,continuous,0,2400,2600,700,,,,,,,,
2/190x35,MGP10,continuous,0,2400,2500,700,,,,,,,,
2/190x45,MGP10,continuous,0,2400,2900,800,,,,,,,,
2/240x35,MGP10,continuous,0,2400,3100,900,,,,,,,,
2/240x45,MGP10,continuous,0,2400,3500,1000,,,,,,,,
2/290x35,MGP10,continuous,0,2400,3600,1000,,,,,,,,
2/290x45,MGP10,continuous,0,2400,4100,1200,,,,,,,,
2/90x35,MGP10,continuous,0,3600,1000,250,,,,,,,,
2/90x45,MGP10,continuous,0,3600,1100,300,,,,,,,,
2/120x35,MGP10,continuous,0,3600,1300,300,,,,,,,,
2/120x45,MGP10,continuous,0,3600,1500,400,,,,,,,,
2/140x35,MGP10,continuous,0,3600,1600,400,,,,,,,,
2/140x45,MGP10,continuous,0,3600,1800,500,,,,,,,,
2/170x35,MGP10,continuous,0,3600,1900,500,,,,,,,,
2/170x45,MGP10,continuous,0,3600,2100,600,,,,,,,,
2/190x35,MGP10,continuous,0,3600,2100,600,,,,,,,,
2/190x45,MGP10,continuous,0,3600,2300,600,,,,,,,,
2/240x35,MGP10,continuous,0,3600,2500,700,,,,,,,,
2/240x45,MGP10,continuous,0,3600,2800,800,,,,,,,,
2/290x35,MGP10,continuous,0,3600,2900,800,,,,,,,,
2/290x45,MGP10,continuous,0,3600,3300,900,,,,,,,,
2/90x35,MGP10,continuous,0,4800,0,0,,,,,,,,
2/90x45,MGP10,continuous,0,4800,1000,250,,,,,,,,
2/120x35,MGP10,continuous,0,4800,1100,300,,,,,,,,
2/120x45,MGP10,continuous,0,4800,1300,300,,,,,,,,
2/140x35,MGP10,continuous,0,4800,1300,300,,,,,,,,
2/140x45,MGP10,continuous,0,4800,1500,400,,,,,,,,
2/170x35,MGP10,continuous,0,4800,1600,400,,,,,,,,
2/170x45,MGP10,continuous,0,4800,1800,500,,,,,,,,
2/190x35,MGP10,continuous,0,4800,1800,500,,,,,,,,
2/190x45,MGP10,continuous,0,4800,2000,600,,,,,,,,
2/240x35,MGP10,continuous,0,4800,2100,600,,,,,,,,
2/240x45,MGP10,continuous,0,4800,2400,700,,,,,,,,
2/290x35,MGP10,continuous,0,4800,2500,700,,,,,,,,
2/290x45,MGP10,continuous,0,4800,2800,800,,,,,,,,
2/90x35,MGP10,continuous,0,6000,0,0,,,,,,,,
2/90x45,MGP10,continuous,0,6000,0,0,,,,,,,,
2/120x35,MGP10,continuous,0,6000,1000,300,,,,,,,,
2/120x45,MGP10,continuous,0,6000,1100,300,,,,,,,,
2/140x35,MGP10,continuous,0,6000,1200,350,,,,,,,,
2/140x45,MGP10,continuous,0,6000,1300,300,,,,,,,,
2/170x35,MGP10,continuous,0,6000,1400,400,,,,,,,,
2/170x45,MGP10,continuous,0,6000,1600,400,,,,,,,,
2/190x35,MGP10,continuous,0,6000,1500,400,,,,,,,,
2/190x45,MGP10,continuous,0,6000,1800,500,,,,,,,,
2/240x35,MGP10,continuous,0,6000,1900,500,,,,,,,,
2/240x45,MGP10,continuous,0,6000,2100,600,,,,,,,,
2/290x35,MGP10,continuous,0,6000,2200,600,,,,,,,,
2/290x45,MGP10,continuous,0,6000,2500,700,,,,,,,,
2/90x35,F5,single,0,1200,1400,400,,,,,,,,
2/90x45,F5,single,0,1200,1600,400,,,,,,,,
2/120x35,F5,single,0,1200,2000,600,,,,,,,,
2/120x45,F5,single,0,1200,2100,600,,,,,,,,
2/140x35,F5,single,0,1200,2300,600,,,,,,,,
2/140x45,F5,single,0,1200,2500,750,,,,,,,,
2/170x35,F5,single,0,1200,2800,800,,,,,,,,
2/170x45,F5,single,0,1200,3000,900,,,,,,,,
2/190x35,F5,single,0,1200,3100,900,,,,,,,,
2/190x45,F5,single,0,1200,3300,900,,,,,,,,
2/240x35,F5,single,0,1200,3800,1100,,,,,,,,
2/240x45,F5,single,0,1200,4000,1200,,,,,,,,
2/290x35,F5,single,0,1200,4400,1300,,,,,,,,
2/290x45,F5,single,0,1200,4600,1300,,,,,,,,
2/90x35,F5,single,0,1800,1200,300,,,,,,,,
2/90x45,F5,single,0,1800,1400,400,,,,,,,,
2/120x35,F5,single,0,1800,1700,500,,,,,,,,
2/120x45,F5,single,0,1800,1800,500,,,,,,,,
2/140x35,F5,single,0,1800,2000,600,,,,,,,,
2/140x45,F5,single,0,1800,2200,650,,,,,,,,
2/170x35,F5,single,0,1800,2400,700,,,,,,,,
2/170x45,F5,single,0,1800,2600,700,,,,,,,,
2/190x35,F5,single,0,1800,2700,800,,,,,,,,
2/190x45,F5,single,0,1800,2900,800,,,,,,,,
2/240x35,F5,single,0,1800,3400,1000,,,,,,,,
2/240x45,F5,single,0,1800,3600,1000,,,,,,,,
2/290x35,F5,single,0,1800,4000,1200,,,,,,,,
2/290x45,F5,single,0,1800,4200,1200,,,,,,,,
2/90x35,F5,single,0,2400,1100,300,,,,,,,,
2/90x45,F5,single,0,2400,1200,350,,,,,,,,
2/120x35,F5,single,0,2400,1500,450,,,,,,,,
2/120x45,F5,single,0,2400,1700,500,,,,,,,,
2/140x35,F5,single,0,2400,1800,500,,,,,,,,
2/140x45,F5,single,0,2400,1900,500,,,,,,,,
2/170x35,F5,single,0,2400,2200,650,,,,,,,,
2/170x45,F5,single,0,2400,2400,700,,,,,,,,
2/190x35,F5,single,0,2400,2400,700,,,,,,,,
2/190x45,F5,single,0,2400,2600,700,,,,,,,,
2/240x35,F5,single,0,2400,3100,900,,,,,,,,
2/240x45,F5,single,0,2400,3300,900,,,,,,,,
2/290x35,F5,single,0,2400,3700,1100,,,,,,,,
2/290x45,F5,single,0,2400,3900,1100,,,,,,,,
2/90x35,F5,single,0,3600,0,0,,,,,,,,
2/90x45,F5,single,0,3600,1000,300,,,,,,,,
2/120x35,F5,single,0,3600,1200,350,,,,,,,,
2/120x45,F5,single,0,3600,1400,400,,,,,,,,
2/140x35,F5,single,0,3600,1400,400,,,,,,,,
2/140x45,F5,single,0,3600,1600,400,,,,,,,,
2/170x35,F5,single,0,3600,1700,500,,,,,,,,
2/170x45,F5,single,0,3600,2000,600,,,,,,,,
2/190x35,F5,single,0,3600,2000,600,,,,,,,,
2/190x45,F5,single,0,3600,2200,600,,,,,,,,
2/240x35,F5,single,0,3600,2500,700,,,,,,,,
2/240x45,F5,single,0,3600,2800,800,,,,,,,,
2/290x35,F5,single,0,3600,3000,900,,,,,,,,
2/290x45,F5,single,0,3600,3400,1000,,,,,,,,
2/90x35,F5,single,0,4800,0,0,,,,,,,,
2/90x45,F5,single,0,4800,0,0,,,,,,,,
2/120x35,F5,single,0,4800,1000,300,,,,,,,,
2/120x45,F5,single,0,4800,1200,350,,,,,,,,
2/140x35,F5,single,0,4800,1200,350,,,,,,,,
2/140x45,F5,single,0,4800,1400,400,,,,,,,,
2/170x35,F5,single,0,4800,1500,400,,,,,,,,
2/170x45,F5,single,0,4800,1700,500,,,,,,,,
2/190x35,F5,single,0,4800,1700,500,,,,,,,,
2/190x45,F5,single,0,4800,1900,500,,,,,,,,
2/240x35,F5,single,0,4800,2100,600,,,,,,,,
2/240x45,F5,single,0,4800,2400,700,,,,,,,,
2/290x35,F5,single,0,4800,2600,700,,,,,,,,
2/290x45,F5,single,0,4800,2900,800,,,,,,,,
2/90x35,F5,single,0,6000,0,0,,,,,,,,
2/90x45,F5,single,0,6000,0,0,,,,,,,,
2/120x35,F5,single,0,6000,0,0,,,,,,,,
2/120x45,F5,single,0,6000,1000,300,,,,,,,,
2/140x35,F5,single,0,6000,1100,300,,,,,,,,
2/140x45,F5,single,0,6000,1200,350,,,,,,,,
2/170x35,F5,single,0,6000,1300,300,,,,,,,,
2/170x45,F5,single,0,6000,1500,400,,,,,,,,
2/190x35,F5,single,0,6000,1500,400,,,,,,,,
2/190x45,F5,single,0,6000,1700,500,,,,,,,,
2/240x35,F5,single,0,6000,1900,500,,,,,,,,
2/240x45,F5,single,0,6000,2100,600,,,,,,,,
2/290x35,F5,single,0,6000,2300,600,,,,,,,,
2/290x45,F5,single,0,6000,2600,700,,,,,,,,
2/90x35,F5,continuous,0,1200,1600,450,,,,,,,,
2/90x45,F5,continuous,0,1200,1900,500,,,,,,,,
2/120x35,F5,continuous,0,1200,2200,600,,,,,,,,
2/120x45,F5,continuous,0,1200,2500,650,,,,,,,,
2/140x35,F5,continuous,0,1200,2600,700,,,,,,,,
2/140x45,F5,continuous,0,1200,2900,750,,,,,,,,
2/170x35,F5,continuous,0,1200,3100,850,,,,,,,,
2/170x45,F5,continuous,0,1200,3500,900,,,,,,,,
2/190x35,F5,continuous,0,1200,3400,900,,,,,,,,
2/190x45,F5,continuous,0,1200,3900,1000,,,,,,,,
2/240x35,F5,continuous,0,1200,4300,1150,,,,,,,,
2/240x45,F5,continuous,0,1200,4700,1250,,,,,,,,
2/290x35,F5,continuous,0,1200,5100,1400,,,,,,,,
2/290x45,F5,continuous,0,1200,5500,1500,,,,,,,,
2/90x35,F5,continuous,0,1800,1300,300,,,,,,,,
2/90x45,F5,continuous,0,1800,1500,450,,,,,,,,
2/120x35,F5,continuous,0,1800,1800,500,,,,,,,,
2/120x45,F5,continuous,0,1800,2000,550,,,,,,,,
2/140x35,F5,continuous,0,1800,2100,600,,,,,,,,
2/140x45,F5,continuous,0,1800,2300,650,,,,,,,,
2/170x35,F5,continuous,0,1800,2500,750,,,,,,,,
2/170x45,F5,continuous,0,1800,2900,800,,,,,,,,
2/190x35,F5,continuous,0,1800,2800,800,,,,,,,,
2/190x45,F5,continuous,0,1800,3200,900,,,,,,,,
2/240x35,F5,continuous,0,1800,3500,1000,,,,,,,,
2/240x45,F5,continuous,0,1800,4000,1100,,,,,,,,
2/290x35,F5,continuous,0,1800,4300,1200,,,,,,,,
2/290x45,F5,continuous,0,1800,4800,1300,,,,,,,,
2/90x35,F5,continuous,0,2400,1100,300,,,,,,,,
2/90x45,F5,continuous,0,2400,1300,350,,,,,,,,
2/120x35,F5,continuous,0,2400,1500,450,,,,,,,,
2/120x45,F5,continuous,0,2400,1700,500,,,,,,,,
2/140x35,F5,continuous,0,2400,1800,500,,,,,,,,
2/140x45,F5,continuous,0,2400,2000,600,,,,,,,,
2/170x35,F5,continuous,0,2400,2200,650,,,,,,,,
2/170x45,F5,continuous,0,2400,2500,700,,,,,,,,
2/190x35,F5,continuous,0,2400,2400,700,,,,,,,,
2/190x45,F5,continuous,0,2400,2800,800,,,,,,,,
2/240x35,F5,continuous,0,2400,3100,900,,,,,,,,
2/240x45,F5,continuous,0,2400,3500,1000,,,,,,,,
2/290x35,F5,continuous,0,2400,3700,1100,,,,,,,,
2/290x45,F5,continuous,0,2400,4200,1200,,,,,,,,
2/90x35,F5,continuous,0,3600,0,0,,,,,,,,
2/90x45,F5,continuous,0,3600,1000,300,,,,,,,,
2/120x35,F5,continuous,0,3600,1200,350,,,,,,,,
2/120x45,F5,continuous,0,3600,1400,400,,,,,,,,
2/140x35,F5,continuous,0,3600,1400,400,,,,,,,,
2/140x45,F5,continuous,0,3600,1600,400,,,,,,,,
2/170x35,F5,continuous,0,3600,1700,500,,,,,,,,
2/170x45,F5,continuous,0,3600,2000,600,,,,,,,,
2/190x35,F5,continuous,0,3600,2000,600,,,,,,,,
2/190x45,F5,continuous,0,3600,2200,600,,,,,,,,
2/240x35,F5,continuous,0,3600,2500,700,,,,,,,,
2/240x45,F5,continuous,0,3600,2800,800,,,,,,,,
2/290x35,F5,continuous,0,3600,3000,900,,,,,,,,
2/290x45,F5,continuous,0,3600,3400,1000,,,,,,,,
2/90x35,F5,continuous,0,4800,0,0,,,,,,,,
2/90x45,F5,continuous,0,4800,0,0,,,,,,,,
2/120x35,F5,continuous,0,4800,1000,300,,,,,,,,
2/120x45,F5,continuous,0,4800,1200,350,,,,,,,,
2/140x35,F5,continuous,0,4800,1200,350,,,,,,,,
2/140x45,F5,continuous,0,4800,1400,400,,,,,,,,
2/170x35,F5,continuous,0,4800,1500,400,,,,,,,,
2/170x45,F5,continuous,0,4800,1700,500,,,,,,,,
2/190x35,F5,continuous,0,4800,1700,500,,,,,,,,
2/190x45,F5,continuous,0,4800,1900,500,,,,,,,,
2/240x35,F5,continuous,0,4800,2100,600,,,,,,,,
2/240x45,F5,continuous,0,4800,2400,700,,,,,,,,
2/290x35,F5,continuous,0,4800,2600,700,,,,,,,,
2/290x45,F5,continuous,0,4800,2900,800,,,,,,,,
2/90x35,F5,continuous,0,6000,0,0,,,,,,,,
2/90x45,F5,continuous,0,6000,0,0,,,,,,,,
2/120x35,F5,continuous,0,6000,0,0,,,,,,,,
2/120x45,F5,continuous,0,6000,1000,300,,,,,,,,
2/140x35,F5,continuous,0,6000,1100,300,,,,,,,,
2/140x45,F5,continuous,0,6000,1200,350,,,,,,,,
2/170x35,F5,continuous,0,6000,1300,300,,,,,,,,
2/170x45,F5,continuous,0,6000,1500,400,,,,,,,,
2/190x35,F5,continuous,0,6000,1500,400,,,,,,,,
2/190x45,F5,continuous,0,6000,1700,500,,,,,,,,
2/240x35,F5,continuous,0,6000,1900,500,,,,,,,,
2/240x45,F5,continuous,0,6000,2100,600,,,,,,,,
2/290x35,F5,continuous,0,6000,2300,600,,,,,,,,
2/290x45,F5,continuous,0,6000,2600,700,,,,,,,,
